"gene_symbol" "cumFraction" "rank" "indicator"
"ENSMUSG00000043207" 0.298036801422806 4357 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032563" 0.299199671660168 4374 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027531" 0.300157329502702 4388 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000000244" 0.301183391476845 4403 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060639" 0.303919556741227 4443 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039703" 0.307339763321705 4493 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000017299" 0.313154114508516 4578 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038914" 0.313290922771735 4580 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034135" 0.314385388877488 4596 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032673" 0.314864217798755 4603 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059316" 0.319652507011424 4673 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000070972" 0.320610164853957 4687 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028013" 0.321773035091319 4704 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039656" 0.322525480539025 4715 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022387" 0.325672070593064 4761 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038429" 0.326698132567207 4776 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060450" 0.327313769751693 4785 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000026519" 0.327997811067788 4795 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039936" 0.328955468910322 4809 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000037235" 0.331691634174704 4849 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059995" 0.337027156440249 4927 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022749" 0.343183528285108 5017 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000006276" 0.350023941446063 5117 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000025873" 0.350913195156987 5130 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000055917" 0.355769888501265 5201 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000062822" 0.357137971133456 5221 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000036737" 0.358642862028867 5243 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000021555" 0.365483275189821 5343 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000060002" 0.366919761953622 5364 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024955" 0.367672207401327 5375 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000055013" 0.370545180928928 5417 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027575" 0.381011013065189 5570 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029577" 0.381626650249675 5579 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000003573" 0.385252069224981 5632 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000041135" 0.387372597304877 5663 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020362" 0.38853546754224 5680 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000051811" 0.389903550174431 5700 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000043323" 0.394076202202613 5761 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000050213" 0.397428004651481 5810 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000025268" 0.403379164101512 5897 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020590" 0.407893836787742 5963 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000000194" 0.408646282235447 5974 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000056204" 0.413160954921677 6040 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000041852" 0.415555099528011 6075 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000066637" 0.417744031739517 6107 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029610" 0.424379232505643 6204 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000057230" 0.426568164717149 6236 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027244" 0.428415076270607 6263 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000002496" 0.428757096928654 6268 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020865" 0.431424858061427 6307 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000001415" 0.43251932416718 6323 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000097162" 0.432929748956837 6329 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028047" 0.434776660510295 6356 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000037353" 0.435734318352828 6370 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027981" 0.439770162117792 6429 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000025403" 0.442164306724126 6464 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022814" 0.444421643067241 6497 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030881" 0.445037280251727 6506 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000021661" 0.449893973596005 6577 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000019944" 0.451877693412682 6606 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059689" 0.456187153704084 6669 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027332" 0.459880976810999 6723 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031753" 0.460975442916752 6739 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000000739" 0.464737670155277 6794 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024528" 0.468226280867364 6845 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022586" 0.469662767631165 6866 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000069089" 0.472672549421985 6910 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034810" 0.474861481633491 6942 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034893" 0.475271906423148 6948 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000026407" 0.477734455161092 6984 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000029730" 0.479786579109378 7014 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000062175" 0.480402216293864 7023 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027845" 0.484711676585266 7086 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000050705" 0.487789862507695 7131 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000050627" 0.488405499692181 7140 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000002910" 0.488952732745058 7148 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000033862" 0.489089541008277 7150 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000037419" 0.490252411245639 7167 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034543" 0.496613995485327 7260 "10x 3' v2_limb muscle_macrophage"
