primary_key,parameter,intercept,mean_umi
\x9c3869cf130e4e89d140c88b7f9171d9,p1,0.0795917877292628,-1.77045925510911e-05
\x9c3869cf130e4e89d140c88b7f9171d9,mean1,0.00122695579935052,2.35371475719109e-05
\x9c3869cf130e4e89d140c88b7f9171d9,mean2,-0.014473950376689,0.000461991586888447
\x9c3869cf130e4e89d140c88b7f9171d9,sd1,0.00294972225685225,5.00676643190167e-05
\x9c3869cf130e4e89d140c88b7f9171d9,sd2,0.0729323204169998,0.00121637669188889
\x9c3869cf130e4e89d140c88b7f9171d9,p3,0.0510148038322795,0
\x926433a288b430f43dd18ab388021b4d,p1,0.0537276002698244,-9.87021925829711e-06
\x926433a288b430f43dd18ab388021b4d,mean1,0.0016680800086948,1.61473366659374e-05
\x926433a288b430f43dd18ab388021b4d,mean2,-0.0334815410553422,0.000598839354719532
\x926433a288b430f43dd18ab388021b4d,sd1,0.00460964401082245,3.38176051690647e-05
\x926433a288b430f43dd18ab388021b4d,sd2,0.208930749934819,0.00150986066550345
\x926433a288b430f43dd18ab388021b4d,p3,0.0503012236358337,0
\x44f242a9cf1992b68c4213b709f928b9,p1,0.135842465775248,-4.14252053486752e-06
\x44f242a9cf1992b68c4213b709f928b9,mean1,0.00282367014658629,1.98159320619961e-05
\x44f242a9cf1992b68c4213b709f928b9,mean2,0.00945061078220943,0.000534960437351874
\x44f242a9cf1992b68c4213b709f928b9,sd1,0.00572509123661541,4.48018285473754e-05
\x44f242a9cf1992b68c4213b709f928b9,sd2,0.0239855930225907,0.00128376002069105
\x44f242a9cf1992b68c4213b709f928b9,p3,0.0511564139597741,0
\x47e9978041a852686d262bd054049bd9,p1,0.0660632715734378,-1.16125440243493e-05
\x47e9978041a852686d262bd054049bd9,mean1,0.00147159609370071,2.04475870996918e-05
\x47e9978041a852686d262bd054049bd9,mean2,-0.0123759202868732,0.000511007390545582
\x47e9978041a852686d262bd054049bd9,sd1,0.00375447668351471,4.50158877897796e-05
