"run" "sample" "cell.type" "num.cells" "expressed.genes" "meanUMI" "evaluation" "estimated.counts" "dataset" "threshold" "rsq"
"Run 5" "subsampled25" "EFO:0009922_UBERON:0002367_CL:0002340" 1512 5900 1183.87235449735 "own_count10" 3345 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0002367_CL:0000738" 218 5240 5654.96788990826 "own_count10" 2736 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0002367_CL:0000738" 218 4405 4241.37155963303 "own_count10" 2055 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0002367_CL:0000738" 218 3261 2827.71559633028 "own_count10" 1295 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0002367_CL:0000738" 218 1700 1413.84862385321 "own_count10" 547 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:0000738" 225 2634 2439.83555555556 "own_count10" 887 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:0000738" 225 2000 1829.98222222222 "own_count10" 632 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:0000738" 225 1297 1220.16888888889 "own_count10" 436 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:0000738" 225 633 610.084444444444 "own_count10" 279 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:1001430" 2344 10039 2675.84343003413 "own_count10" 7676 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:1001430" 2344 9520 2007.00895904437 "own_count10" 6753 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:1001430" 2344 8596 1338.17107508532 "own_count10" 5472 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:1001430" 2344 6427 669.095563139932 "own_count10" 3412 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:0002340" 908 8146 3754.35022026432 "own_count10" 5103 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:0002340" 908 7332 2815.89207048458 "own_count10" 4193 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:0002340" 908 5921 1877.41850220264 "own_count10" 3016 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:0002340" 908 3572 938.702643171806 "own_count10" 1446 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:1001597" 2054 9879 4006.90895813048 "own_count10" 7345 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:1001597" 2054 9176 3005.29552093476 "own_count10" 6407 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:1001597" 2054 8089 2003.70740019474 "own_count10" 5113 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:1001597" 2054 5856 1001.85540408958 "own_count10" 3083 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:1000299" 331 3991 2238.46223564955 "own_count10" 1487 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:1000299" 331 3077 1678.97280966767 "own_count10" 990 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:1000299" 331 2028 1119.50151057402 "own_count10" 573 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:1000299" 331 890 559.719033232628 "own_count10" 323 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:2000059" 195 2757 2444.64615384615 "own_count10" 841 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:2000059" 195 2065 1833.65128205128 "own_count10" 565 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:2000059" 195 1266 1222.53846153846 "own_count10" 359 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:2000059" 195 544 611.323076923077 "own_count10" 215 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:0002341" 2125 9496 2133.20423529412 "own_count10" 6562 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:0002341" 2125 8785 1600.02211764706 "own_count10" 5574 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:0002341" 2125 7466 1066.85552941176 "own_count10" 4241 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:0002341" 2125 4979 533.421176470588 "own_count10" 2273 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009899_UBERON:0000057_CL:1000487" 99 958 2022.20202020202 "own_count10" 338 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009899_UBERON:0000057_CL:1000487" 99 696 1516.72727272727 "own_count10" 297 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009899_UBERON:0000057_CL:1000487" 99 453 1011.38383838384 "own_count10" 258 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009899_UBERON:0000057_CL:1000487" 99 237 505.676767676768 "own_count10" 167 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:1001430" 3885 12515 10581.3765765766 "own_count10" 12394 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:1001430" 3885 12124 7936.16447876448 "own_count10" 11683 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:1001430" 3885 11582 5290.93256113256 "own_count10" 10658 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:1001430" 3885 10661 2645.47027027027 "own_count10" 8821 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:1001597" 835 10631 19504.6143712575 "own_count10" 8839 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:1001597" 835 10158 14628.5628742515 "own_count10" 8007 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:1001597" 835 9437 9752.56646706587 "own_count10" 6843 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:1001597" 835 7743 4876.28023952096 "own_count10" 4910 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:0002340" 748 10743 14532.4144385027 "own_count10" 8723 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:0002340" 748 10268 10899.4398395722 "own_count10" 7885 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:0002340" 748 9512 7266.45454545455 "own_count10" 6719 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:0002340" 748 7714 3633.23663101604 "own_count10" 4827 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:0002341" 2301 11840 9332.63059539331 "own_count10" 10988 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:0002341" 2301 11471 6999.5901781834 "own_count10" 10192 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:0002341" 2301 10898 4666.55714906562 "own_count10" 9056 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:0002341" 2301 9782 2333.29291612342 "own_count10" 7064 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:0000738" 390 8507 6639.31282051282 "own_count10" 5271 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:0000738" 390 7565 4979.61282051282 "own_count10" 4300 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:0000738" 390 6194 3319.90769230769 "own_count10" 3054 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:0000738" 390 3721 1659.94615384615 "own_count10" 1436 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:1000299" 569 10271 6705.60632688928 "own_count10" 7121 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:1000299" 569 9481 5029.33040421793 "own_count10" 6085 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:1000299" 569 8173 3353.05448154657 "own_count10" 4663 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:1000299" 569 5469 1676.52196836555 "own_count10" 2505 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "complete" "EFO:0009922_UBERON:0000057_CL:2000059" 350 7675 4880.97142857143 "own_count10" 4326 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled75" "EFO:0009922_UBERON:0000057_CL:2000059" 350 6577 3660.85714285714 "own_count10" 3395 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled50" "EFO:0009922_UBERON:0000057_CL:2000059" 350 5064 2440.72571428571 "own_count10" 2249 "Training data set" "Training data set - Count > 10" 0.925922580026504
"Run 5" "subsampled25" "EFO:0009922_UBERON:0000057_CL:2000059" 350 2766 1220.35714285714 "own_count10" 916 "Training data set" "Training data set - Count > 10" 0.925922580026504


