"run" "sample" "cell.type" "num.cells" "expressed.genes" "meanUMI" "evaluation" "estimated.counts" "dataset" "threshold" "rsq"
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000909" 6224 6039 853.584511568123 "own_count10" 2855 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000814" 1807 6830 3659.51632540122 "own_count10" 3499 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000814" 1807 6023 2744.76978417266 "own_count10" 2826 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000814" 1807 4774 1830.01217487548 "own_count10" 1983 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000814" 1807 2796 914.992252351965 "own_count10" 919 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000787" 457 4492 7938.11378555799 "own_count10" 1844 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000787" 457 3632 5953.69584245077 "own_count10" 1349 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000787" 457 2581 3969.31291028446 "own_count10" 827 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000787" 457 1289 1984.66301969365 "own_count10" 356 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000940" 223 1568 4664.41255605381 "own_count10" 424 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000940" 223 1144 3498.42600896861 "own_count10" 307 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000940" 223 724 2332.43946188341 "own_count10" 228 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000940" 223 333 1166.23766816144 "own_count10" 163 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000084" 1697 9300 13114.3464938126 "own_count10" 6128 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000084" 1697 8778 9835.8815556865 "own_count10" 5401 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000084" 1697 7989 6557.43311726576 "own_count10" 4456 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000084" 1697 6192 3278.70005892752 "own_count10" 3110 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000623" 226 3038 7203.44247787611 "own_count10" 1016 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000623" 226 2329 5402.71238938053 "own_count10" 697 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000623" 226 1508 3601.96460176991 "own_count10" 416 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000623" 226 686 1800.94247787611 "own_count10" 225 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000815" 306 2430 4874.99019607843 "own_count10" 780 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000815" 306 1831 3656.34967320261 "own_count10" 528 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000815" 306 1214 2437.77777777778 "own_count10" 322 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000815" 306 566 1218.85294117647 "own_count10" 195 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000990" 543 6289 12904.9226519337 "own_count10" 3149 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000990" 543 5419 9678.82320441989 "own_count10" 2505 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000990" 543 4196 6452.7182320442 "own_count10" 1724 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000990" 543 2388 3226.34254143646 "own_count10" 803 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000233" 1444 3667 1978.14750692521 "own_count10" 1399 "Training data set" "Training data set - Count > 10" 0.928370254361329
